question_id,Enunciado_Juridico
39_direito_constitucional_peca_praticoprofissional,"A peça adequada nesta situação é a petição inicial de mandado de segurança coletivo.
A petição deve ser endereçada ao Juízo da Comarca X, já que os dados constantes do enunciado não permitem identificar a organização judiciária do local.
O examinando deve indicar, na qualificação das partes, a Associação dos Artesãos do Município Alfa, impetrante e, como autoridade coatora, o Prefeito do Município Alfa. A legitimidade ativa da Associação decorre do fato de ser uma associação legalmente constituída e em funcionalmente há mais de 1 (um) ano, estando em defesa de direitos líquidos e certos dos artesãos associados, tal qual autorizado pelo Art. 21 da Lei nº 12.016/09 ou Art. 5º, inciso LXX, alínea b, da CRFB/88. A legitimidade passiva do Prefeito Municipal decorre do fato de ter exarado a determinação de que não fossem elaboradas ou comercializadas obras de arte que não se ajustassem aos padrões indicados, daí a incidência do Art. 5º, inciso LXIX, ou do Art. 1º da Lei nº 12.016/09. Deve indicar, ademais, a pessoa jurídica a que está vinculada a autoridade coatora, nos termos do Art. 6º, caput, da Lei nº 12.016/09.
Como o mandado de segurança coletivo será impetrado no mesmo mês em que foi proferida a decisão, foi observado o prazo decadencial de 120 (cento e vinte) dias a que se refere o Art. 23 da Lei nº 12.016/09.
O examinando deve esclarecer que a Constituição da República ampara os direitos fundamentais à liberdade de expressão da atividade artística, independente de censura (Art. 5º, inciso IX); e ao dever de o Estado incentivar a valorização e a difusão das manifestações culturais (Art. 215, caput). Além disso, a livre iniciativa (Art. 170, caput, da CRFB/88 ouArt. 1º, inciso IV, da CRFB/88), foi restringida de maneira desproporcional. Como estamos perante direitos coletivos, afetos a todos os artesãos associados, é cabível a impetração do mandado de segurança coletivo, nos termos do Art. 21, parágrafo único, da Lei nº 12.016/09, sendo certo que há prova pré-constituída, consistente no fato de a decisão do Prefeito Municipal estar documentada, incluindo o risco de cassação do alvará do Centro de Artesanato.
O examinando deve sustentar que, além do fundamento relevante do direito dos associados, há o risco de ineficácia da medida final se a liminar não for deferida, tendo em vista a urgência da situação, já que os artesãos estão prestes a ser submetidos a medidas francamente contrárias aos seus direitos fundamentais e ainda poderão ser impedidos de comercializar suas obras, com a cassação do alvará do Centro de Artesanato, daí decorrendo risco para a sua própria subsistência.
A peça deve conter os requerimentos de (i) concessão da medida liminar, para reconhecer a inconstitucionalidade da determinação e para que a autoridade coatora se abstenha de adotar qualquer medida que redunda em cassação do alvará de localização do Centro de Artesanato; e, ao final, (ii) procedência do pedido, com confirmação da concessão da ordem, atribuindo-se caráter definitivo à tutela liminar. O examinando ainda deve atribuir valor à causa.
A petição deve contar com o fechamento.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                                                                                                                   | PONTUAÇÃO                      |
|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-------------------------------|
| A peça adequada nesta situação é a petição inicial de mandado de segurança coletivo.                                                                                                                                                                                                                                   | nan                            |
| Endereçamento                                                                                                                                                                                                                                                                                                          | nan                            |
| 1. A petição deve ser endereçada ao Juízo da Comarca X, já que os dados constantes do enunciado não permitem identificar a organização judiciária do local (0,10).                                                                                                                                                     | 0,00/0,10                      |
| 2. Impetrante: Associação dos Artesãos do Município Alfa (0,10).                                                                                                                                                                                                                                                       | 0,00/0,10                      |
| 3. Autoridade coatora: Prefeito do Município Alfa (0,10).                                                                                                                                                                                                                                                              | 0,00/0,10                      |
| Legitimidade                                                                                                                                                                                                                                                                                                           | nan                            |
| 4. Legitimidade ativa da Associação: associação legalmente constituída e em funcionamento há mais de 1 (um) ano (0,10), estando em defesa de direitos líquidos e certos dos artesãos associados (0,10), tal qual autorizado pelo Art. 5º, inciso LXX, alínea b, da CRFB/88 ou pelo Art. 21 da Lei nº 12.016/09 (0,10). | 0,00/0,10/ 0,20/0,30           |
| 5. Legitimidade passiva do Prefeito Municipal: determinou que não fossem elaboradas ou comercializadas obras de arte que não se ajustassem aos padrões indicados (0,10), daí a incidência do Art. 5º, inciso LXIX, da CRFB/88, ou do Art. 1º da Lei nº 12.016/09 (0,10).                                               | 0,00/0,10/0,20                 |
| 6. A autoridade coatora está vinculada ao Município Alfa (0,10) - Art. 6º, caput, da Lei nº 12.016/09 (0,10).                                                                                                                                                                                                          | 0,00/0,10/0,20                 |
| 7. Como o mandado de segurança coletivo será impetrado no mesmo mês em que foi proferida a decisão, foi observado o prazo decadencial de 120 (cento e vinte) dias (0,10) a que se refere o Art. 23 da Lei nº 12.016/09 (0,10).                                                                                         | 0,00/0,10/0,20                 |
| Fundamentos de mérito                                                                                                                                                                                                                                                                                                  | nan                            |
| 8. A decisão do prefeito:                                                                                                                                                                                                                                                                                              | nan                            |
| 8.1. afrontou a liberdade de expressão da atividade artística, independente de censura (0,50), segundo o Art. 5º, inciso IX, da CRFB/88 (0,10). Ou Afrontou o direito ao trabalho, ofício ou profissão (0,50), segundo o Art. 5º, inciso XIII, da CRFB/88 (0,10)                                                       | 0,00/0,50/0,60                 |
| 8.2. afrontou o dever de o Estado incentivar a valorização e a difusão das manifestações culturais (0,50) (Art. 215, caput, da CRFB/88 ou Art. 216, § 1º, inciso I, da CRFB/88 (0,10)).                                                                                                                                | 0,00/0,50/0,60                 |
| 8.3. restringiu a livre iniciativa, (0,40) reconhecida pelo Art. 170, caput, da CRFB/88, (0,10) com afronta ao princípio da proporcionalidade (0,10)                                                                                                                                                                   | 0,00/0,10/0,20/ 0,40/0,50/0,60 |
| 9. Na medida em que estamos perante direitos coletivos (0,10), é cabível a impetração do mandado de segurança coletivo, (0,40) nos termos do Art. 21, parágrafo único, da Lei nº 12.016/12 (0,10);                                                                                                                     | 0,00/0,10/0,20/ 0,40/0,50/0,60 |
| 10. Há prova pré-constituída, consistente no fato de a decisão do Prefeito Municipal estar documentada (0,30).                                                                                                                                                                                                         | 0,00/0,30                      |
| Fundamentos da liminar                                                                                                                                                                                                                                                                                                 | nan                            |
| 11. A solidez do direito está expressa nos fundamentos de mérito (0,20).                                                                                                                                                                                                                                               | 0,00/0,20                      |
| 12. Há o risco de ineficácia da medida final se a liminar não for deferida (0,10), já que os artesãos poderão ser impedidos de comercializar suas obras, com a cassação do alvará do Centro de Artesanato, daí decorrendo risco para a sua própria subsistência (0,10).                                                | 0,00/0,10/0,20                 |
| Pedidos                                                                                                                                                                                                                                                                                                                | nan                            |
| 13. Concessão da medida liminar, para se reconhecer a inconstitucionalidade da determinação (0,10) e para que a autoridade coatora se abstenha de adotar qualquer medida que redunda em cassação do alvará de localização do Centro de Artesanato (0,20).                                                              | 0,00/0,10/ 0,20/0,30           |
| 14. Ao final, a procedência do pedido, com confirmação da concessão da ordem, atribuindo-se caráter definitivo à tutela liminar (0,20).                                                                                                                                                                                | 0,00/0,20                      |
| Fechamento                                                                                                                                                                                                                                                                                                             | nan                            |
| 15. Valor da causa (0,10).                                                                                                                                                                                                                                                                                             | 0,00/0,10                      |
| 16. “Local”, “Data...”, “Advogado...”, “OAB...” (0,10).                                                                                                                                                                                                                                                                | 0,00/0,10                      |"
39_direito_constitucional_questao_1,"Sim. Como a matéria deve ser disciplinada em lei ordinária, nos termos do Art. 170, parágrafo único, da CRFB/88, a Lei Complementar federal nº XX pode ser alterada por diploma normativo da referida natureza.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                                    | PONTUAÇÃO                           |
|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------------------------------|
| A. Sim. Como a matéria deve ser disciplinada em lei ordinária (0,30), a Lei Complementar federal nº XX pode ser alterada por diploma normativo da referida natureza (0,25), nos termos do Art. 170, parágrafo único, da CRFB/88 (0,10). | 0,00/0,25/0,30/0,35/ 0,40/0,55/0,65 |"
39_direito_constitucional_questao_2,"Não. É vedado o aumento de despesa nos projetos de lei de iniciativa exclusiva do Presidente da República, nos termos do Art. 63, inciso I, OU Art. 61 §1º, inciso II, alínea a, ambos da CRFB/88 .

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                | PONTUAÇÃO      |
|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Não. É vedado o aumento de despesa nos projetos de lei de iniciativa exclusiva do Presidente da República (0,50), nos termos do Art. 63, inciso I, OU Art. 61 §1º, inciso II, alínea a, ambos da CRFB/88 (0,10). | 0,00/0,50/0,60 |"
39_direito_constitucional_questao_3,"Não. Trata-se de matéria de iniciativa legislativa privativa do Presidente da República, nos termos do Art. 61, § 1º, inciso I, OU inciso II, alínea f, da CRFB/88.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                | PONTUAÇÃO      |
|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Não. Trata-se de matéria de iniciativa legislativa privativa do Presidente da República (0,50),nos termos do Art. 61, § 1º, inciso I, OU inciso II, alínea f, da CRFB/88 (0,10). | 0,00/0,50/0,60 |"
39_direito_constitucional_questao_4,"Sim. O Congresso Nacional pode sustar os atos normativos que exorbitem do poder regulamentar, nos termos do Art. 49, inciso V, da CRFB/88.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                       | PONTUAÇÃO      |
|:-----------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Sim. O Congresso Nacional pode sustar os atos normativos que exorbitem do poder regulamentar (0,55),nos termos do Art. 49, inciso V, da CRFB/88 (0,10). | 0,00/0,55/0,65 |"
39_direito_empresarial_peca_praticoprofissional,"O enunciado narra a divergência entre os sócios em relação à continuidade da sociedade, sendo certo que dois deles querem a dissolução e a outra parte não. Vitória e Branca, com 50% (cinquenta por cento) de participação no capital, entendem que é possível a manutenção da sociedade mesmo com o impacto da construção da ponte binacional, mas a solução proposta por elas não está resolvendo. Jari e Santana, também com 50% (cinquenta por cento) de participação no capital, pretendem, em juízo, a decretação do fim da sociedade, após a liquidação do seu patrimônio. Você é contratado(a) para defender os interesses dos sócios Jari e Santana, que reiteram a você não pretender a liquidação de suas quotas. Com base nestes dados, verifica-se que a peça processual adequada é a petição inicial da ação de dissolução de sociedade, pelo procedimento comum (Art. 318 do CPC).
Não é adequada a petição inicial da ação de dissolução parcial em razão de o enunciado ser explícito que os sócios pretendem o fim da sociedade e a liquidação do patrimônio e não apenas a apuração de seus haveres, tendo reiterado não desejarem a resolução da sociedade em relação a eles.
I- Endereçamento
Ao Juízo da ____ Vara da Comarca de Oiapoque/AP
O foro competente para julgar a ação de dissolução da sociedade é o de Oiapoque, lugar da sede da pessoa jurídica ré, com fundamento no Art. 53, inciso III, alínea a, do CPC. Como é informado no enunciado, a comarca tem mais de uma vara e o processo está sujeito à distribuição (Art. 284 do CPC) e não deve ser indicada previamente nenhuma vara.
II- Qualificação das partes
Autores: Jari, qualificação, e Santana, qualificação
Réus (Art. 116 do CPC): Balsa Nova Transportes Hidroviários Ltda., representada pela sócia administradora Vitória etc.; Vitória, qualificação etc. e Branca, qualificação etc.
III- Legitimidade ativa
A sociedade pode ser dissolvida judicialmente a requerimento de qualquer dos sócios, portanto os autores são legitimados.
IV- Do litisconsórcio unitário
Para efeito de legitimidade passiva, verifica-se litisconsórcio unitário entre a sociedade Balsa Nova Transportes
Hidroviários Ltda. e as sócias Branca e Vitória, porque a dissolução da sociedade (mérito do pedido) trará efeito uniforme para a sociedade e as sócias, com fundamento no Art. 116 do CPC.
V- Fundamentos jurídicos
a) a inauguração da ponte binacional impactou as atividades da sociedade de transporte de pessoas e coisas por balsas, tornando obsoleto o seu objeto;
b) a proposta de dissolução da sociedade foi rejeitada em reunião pelas sócias Vitória e Branca;
c) a sociedade pode ser dissolvida judicialmente, a requerimento de qualquer dos sócios, quando exaurido o fim social, com fundamento no Art. 1.034, inciso II, do CC.
VI- Pedidos
a) citação da sociedade e das sócias Branca e Vitória
b) procedência do pedido para decretar a dissolução da sociedade
c) nomeação de liquidante
d) manifestação quanto ao interesse na realização da audiência de conciliação e mediação
e) condenação das rés aos ônus de sucumbência ou condenação ao pagamento de custas processuais e honorários advocatícios
VII- Provas
Deve haver referência expressa na peça processual que a petição está instruída com - o contrato social e
- a ata da reunião que rejeitou a proposta de alteração do objeto social.
VIII- Menção ao valor da causa
IX- Fechamento da peça:
O(A) examinando(a) deverá proceder conforme o item 3.5.9 do Edital (Local ... ou Município..., Data..., Advogado(a)... e OAB...), abstendo-se de inserir dado ou informação não contidos no enunciado (ex: dia, mês e ano definidos) para não identificar sua peça.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                                                                                                                           | PONTUAÇÃO      |
|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| Endereçamento                                                                                                                                                                                                                                                                                                                  | nan            |
| 1. Ao Juízo da ____ Vara da Comarca de Oiapoque/AP (0,10).                                                                                                                                                                                                                                                                     | 0,00/0,10      |
| 2. Qualificação das partes: autores: Jari, qualificação, e Santana, qualificação (0,10); réus (Art. 116 do CPC): Balsa Nova Transportes Hidroviários Ltda., representada pela sócia administradora Vitória etc.; Vitória, qualificação etc. e Branca, qualificação etc. (0,10).                                                | 0,00/0,10/0,20 |
| Legitimidade ativa                                                                                                                                                                                                                                                                                                             | nan            |
| 3. A sociedade pode ser dissolvida judicialmente a requerimento de qualquer dos sócios, portanto os autores são legitimados (0,40).                                                                                                                                                                                            | 0,00/0,40      |
| Do litisconsórcio unitário                                                                                                                                                                                                                                                                                                     | nan            |
| 4. Para efeito de legitimidade passiva, verifica-se litisconsórcio unitário entre a sociedade Balsa Nova Transportes Hidroviários Ltda. e as sócias Branca e Vitória, porque a dissolução da sociedade (mérito do pedido) trará efeito uniforme para a sociedade e as sócias (0,40), com fundamento no Art. 116 do CPC (0,10). | 0,00/0,40/0,50 |
| Fundamentos jurídicos                                                                                                                                                                                                                                                                                                          | nan            |
| 5. A inauguração da ponte binacional impactou as atividades da sociedade de transporte de pessoas e coisas por balsas, tornando obsoleto o seu objeto; (0,45);                                                                                                                                                                 | 0,00/0,45      |
| 6. A proposta de dissolução da sociedade foi rejeitada em reunião pelas sócias Vitória e Branca (0,45);                                                                                                                                                                                                                        | 0,00/0,45      |
| 7. A sociedade pode ser dissolvida judicialmente, a requerimento de qualquer dos sócios, quando exaurido o fim social (0,65), com fundamento no Art. 1.034, inciso II, do CC (0,10).                                                                                                                                           | 0,00/0,65/0,75 |
| Pedidos                                                                                                                                                                                                                                                                                                                        | nan            |
| 8. citação da sociedade e das sócias Branca e Vitória (0,30).                                                                                                                                                                                                                                                                  | 0,00/0,30      |
| 9. manifestação quanto ao interesse na realização da audiência de conciliação e mediação (0,20).                                                                                                                                                                                                                               | 0,00/0,20      |
| 10. procedência do pedido para decretar a dissolução da sociedade (0,35).                                                                                                                                                                                                                                                      | 0,00/0,35      |
| 11. nomeação de liquidante (0,40).                                                                                                                                                                                                                                                                                             | 0,00/0,40      |
| 12. condenação das rés aos ônus de sucumbência ou condenação ao pagamento de custas processuais e honorários advocatícios (0,20).                                                                                                                                                                                              | 0,00/0,20      |
| Das Provas (referência expressa da juntada das seguintes provas)                                                                                                                                                                                                                                                               | nan            |
| 13. do contrato social (0,25).                                                                                                                                                                                                                                                                                                 | 0,00/0,25      |
| 14. da ata da reunião que rejeitou a alteração do objeto social (0,25).                                                                                                                                                                                                                                                        | 0,00/0,25      |
| Fechamento                                                                                                                                                                                                                                                                                                                     | nan            |
| 15. Menção ao valor da causa (0,10).                                                                                                                                                                                                                                                                                           | 0,00/0,10      |
| 16. Local..., Data..., Advogado(a), OAB ... nº... (0,10).                                                                                                                                                                                                                                                                      | 0,00/0,10      |"
39_direito_empresarial_questao_1,"Não. Diante da conclusão do negócio diretamente entre a cliente e o vendedor, sem a mediação do corretor, e da inexistência de cláusula de exclusividade, não cabe pagamento de qualquer comissão, de acordo com o Art. 726 do Código Civil.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                                                             | PONTUAÇÃO      |
|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Não. É indevido pagamento de comissão diante da conclusão do negócio diretamente entre a cliente e o vendedor, sem a mediação do corretor, e da inexistência cláusula de exclusividade na corretagem (0,55), de acordo com o Art. 726 do Código Civil (0,10). | 0,00/0,55/0,65 |"
39_direito_empresarial_questao_2,"Não. A eventual inscrição do contrato em qualquer registro não confere personalidade jurídica à sociedade, de acordo com o Art. 993, caput, do Código Civil.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                          | PONTUAÇÃO      |
|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Não. A eventual inscrição do contrato em qualquer registro não confere personalidade jurídica à sociedade (0,50), de acordo com o Art. 993, caput, do Código Civil (0,10). | 0,00/0,50/0,60 |"
39_direito_empresarial_questao_3,"Sim. A falida poderá requerer a extinção de suas obrigações, sendo os bens arrecadados destinados à liquidação para a satisfação dos credores habilitados ou com pedido de reserva realizado, de acordo com o Art. 158, inciso V, da Lei nº 11.101/05.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                                                                                    | PONTUAÇÃO      |
|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Sim. A falida poderá requerer a extinção de suas obrigações, sendo os bens arrecadados destinados à liquidação para a satisfação dos credores habilitados ou com pedido de reserva realizado (0,55), de acordo com o Art. 158, inciso V, da Lei nº 11.101/05 (0,10). | 0,00/0,55/0,65 |"
39_direito_empresarial_questao_4,"Não. O transportador pode limitar sua responsabilidade pela entrega da carga perante o destinatário ao valor constante do conhecimento, com fundamento no Art. 750 do Código Civil.

DISTRIBUIÇÃO DOS PONTOS

| ITEM                                                                                                                                                                                                 | PONTUAÇÃO      |
|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|
| A. Não. O transportador pode limitar sua responsabilidade pela entrega da carga perante o destinatário ao valor constante do conhecimento (0,55), com fundamento no Art. 750 do Código Civil (0,10). | 0,00/0,55/0,65 |"
