id,question_number,exam_id,exam_year,question_type,nullified,question,choices,answerKey,area_especialidade,nivel_dificuldade,referencia_legal
2010-02_7,7,2010-02,2010,CONSTITUTIONAL,False,"Em relação à inovação da ordem constitucional que instituiu a nominada Súmula Vinculante, é correto afirmar que:","{'text': ['somente os Tribunais Superiores podem editá-la.', 'podem ser canceladas, mas vedada a mera revisão.', 'a proposta para edição da Súmula pode ser provocada pelos legitimados para a propositura da ação direta de inconstitucionalidade.', 'desde que haja reiteradas decisões sobre matéria constitucional, o Supremo Tribunal Federal poderá, de ofício ou por provocação, aprovar a Súmula mediante decisão da maioria absoluta de seus membros.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_8,8,2010-02,2010,CONSTITUTIONAL,False,"Um determinado Estado-membro editou lei estabelecendo disciplina uniforme para a data de vencimento das mensalidades das instituições de ensino sediadas no seu território.
Examinada a questão à luz da parti lha de competência entre os entes federativos, é correto afirmar que:","{'text': ['mensalidade escolar versa sobre direito obrigacional, portanto, de natureza contratual, logo cabe à União legislar sobre o assunto.', 'a matéria legislada tem por objeto prestação de serviço educacional, devendo ser considerada como de interesse típico municipal.', 'por versar o conteúdo da lei sobre educação, a competência do Estado-membro é concorrente com a da União.', 'somente competirá aos Estados-membros legislar sobre o assunto quando se tratar de mensalidades cobradas por instituições particulares de Ensino Médio.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_9,9,2010-02,2010,CONSTITUTIONAL,False,"Sobre o instrumento jurídico denominado Medida Provisória que não é lei, mas tem força de lei, assinale a afirmativa correta.","{'text': ['A sua eficácia dura sessenta dias contados da publicação, podendo a medida ser prorrogada apenas duas vezes, ambas por igual período.', 'Se a Medida Provisória perder eficácia por decurso de prazo ou, em caráter expresso, for rejeitada pelo Congresso Nacional, vedada será sua reedição na mesma sessão legislativa.', 'A não apreciação pela Câmara dos Deputados e, após, pelo Senado Federal, no prazo de 45 dias contados da publicação, tem como consequência apenas o sobrestamento da deliberação dos projetos de emenda à Constituição.', 'A edição de Medida Provisória torna prejudicado o projeto de lei que disciplina o mesmo assunto e que, a par de já aprovado pelo Congresso Nacional, está pendente de sanção ou veto do Presidente da República.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_10,10,2010-02,2010,CONSTITUTIONAL,False,"Declarando o Supremo Tribunal Federal, incidentalmente, a inconstitucionalidade de lei ou ato normativo federal em face da Constituição do Brasil, caberá","{'text': ['ao Procurador-Geral da República, como chefe do Ministério Público da União, expedir atos para o cumprimento da decisão pelos membros do Ministério Público Federal e dos Estados.', 'ao Presidente da República editar decreto para tornar inválida a lei no âmbito da administração pública.', 'ao Senado Federal suspender a execução da lei, total ou parcialmente, conforme o caso, desde que a decisão do Supremo Tribunal Federal seja definitiva.', 'ao Advogado-Geral da União interpor o recurso cabível para impedir que a União seja compelida a cumprir a referida decisão.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_11,11,2010-02,2010,ADMINISTRATIVE,False,"A doutrina costuma afirmar que certas prerrogativas postas à Administração encerram verdadeiros poderes, que são irrenunciáveis e devem ser exercidos sempre que o interesse público clamar. Por tal razão são chamados poder-dever. A esse respeito é correto afirmar que:","{'text': ['o poder regulamentar é amplo, e permite, sem controvérsias, a edição de regulamentos autônomos e executórios.', 'o poder disciplinar importa à administração o dever de apurar infrações e aplicar penalidades, mesmo não havendo legislação prévia.', 'o poder de polícia se coloca discricionário, conferindo ao administrador ilimitada margem de opções quanto à sanção a ser, eventualmente, aplicada.', 'o poder hierárquico é inerente à ideia de verticalização administrativa, e revela as possibilidades de controlar atividades, delegar competência, avocar competências delegáveis e invalidar atos, dentre outros.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_12,12,2010-02,2010,ADMINISTRATIVE,False,"Em determinado procedimento administrativo disciplinar, a Administração federal impôs, ao servidor, a pena de advertência, tendo em vista a comprovação de ato de improbidade. Inconformado, o servidor recorre, vindo a Administração, após lhe conferir o direito de manifestação, a lhe impor a pena de demissão, nos termos da Lei nº 8112/90 e da Lei 9784/98.
Com base no fragmento acima, é correto afirmar que a Administração Federal","{'text': ['agiu em desrespeito aos princípios da eficiência e da instrumentalidade, autorizativos da reforma em prejuízo do recorrente, desde que não imponha pena grave.', 'agiu em respeito aos princípios da legalidade e autotutela, autorizativos da reforma em prejuízo do recorrente.', 'não observou o princípio da dignidade da pessoa humana, trazendo equivocada reforma em prejuízo do recorrente.', 'não observou o princípio do devido processo legal, trazendo equivocada reforma em prejuízo do recorrente.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_13,13,2010-02,2010,ADMINISTRATIVE,False,"Acerca do tombamento, como uma das formas de o Estado intervir na propriedade privada, os proprietários passam a ter obrigações negativas que estão relacionadas nas alternativas a seguir, à exceção de uma. Assinale-a.","{'text': ['Os proprietários são obrigados a colocar os seus imóveis tombados à disposição da Administração Pública para que possam ser utilizados como repartições públicas, quando da necessidade imperiosa de utilização, afim de suprir a prestação de serviços pelo Estado de forma eficiente.', 'Os proprietários são obrigados a suportar a fiscalização dos órgãos administrativos competentes.', 'Os proprietários não podem destruir, demolir ou mutilar o bem imóvel e somente poderão restaurá-lo, repará-lo ou pintá-lo após a obtenção de autorização especial do órgão administrativo competente.', 'Os proprietários não podem alienar os bens, ressalvada a possibilidade de transferência para uma entidade pública.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_14,14,2010-02,2010,ADMINISTRATIVE,False,"O poder de polícia, conferindo a possibilidade de o Estado limitar o exercício da liberdade ou das faculdades de proprietário, em prol do interesse público","{'text': ['gera a possibilidade de cobrança, como contrapartida, de preço público.', 'se instrumentaliza sempre por meio de alvará de autorização.', 'afasta a razoabilidade, para atingir os seus objetivos maiores, em prol da predominância do interesse público.', 'deve ser exercido nos limites da lei, gerando a possibilidade de cobrança de taxa.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_15,15,2010-02,2010,ADMINISTRATIVE,False,"No Direito Público brasileiro, o grau de autonomia das Agências Reguladoras é definido por uma independência","{'text': ['administrativa total e absoluta, uma vez que a Constituição da República de 1988 não lhes exige qualquer liame, submissão ou controle administrativo dos órgãos de cúpula do Poder Executivo.', 'administrativa mitigada, uma vez que a própria lei que cria cada uma das Agências Reguladoras define e regulamenta as relações de submissão e controle, fundado no poder de supervisão dos Ministérios a que cada uma se encontra vinculada, em razão da matéria, e na superintendência atribuída ao chefe do Poder Executivo, como chefe superior da Administração Pública.', 'legislativa total e absoluta, visto que gozam de poder normativo regulamentar, não se sujeitando assim às leis emanadas pelos respectivos Poderes legislativos de cada ente da federação brasileira.', 'política decisória, pois não estão obrigadas a seguir as decisões de políticas públicas adotadas pelos Poderes do Estado (executivo e legislativo).'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_16,16,2010-02,2010,ADMINISTRATIVE,False,"Nas hipóteses de desapropriação, em regra geral, os requisitos constitucionais a serem observados pela Administração Pública são os seguintes:","{'text': ['comprovação da necessidade ou utilidade pública ou de interesse social; pagamento de indenização prévia ao ato de imissão na posse pelo Poder Público, e que seja justa e em dinheiro; e observância de ato administrativo, sem contraditório por parte do proprietário.', 'comprovação da necessidade ou utilidade pública ou de interesse social; pagamento de indenização prévia ao ato de imissão na posse pelo Poder Público, e que seja justa e em dinheiro; e observância de procedimento administrativo, com respeito ao contraditório e ampla defesa por parte do proprietário.', 'comprovação da necessidade ou utilidade pública ou de interesse social; pagamento de indenização prévia ao ato de imissão na posse pelo Poder Público, e que seja justa e em títulos da dívida pública ou quaisquer outros títulos públicos, negociáveis no mercado financeiro; e observância de procedimento administrativo, com respeito ao contraditório e ampla defesa por parte do proprietário.', 'comprovação da necessidade ou utilidade pública ou de interesse social; pagamento de indenização, posteriormente ao ato de imissão na posse pelo Poder Público, e que seja justa e em dinheiro; e observância de procedimento administrativo, com respeito ao contraditório e ampla defesa por parte do proprietário.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
